"taxon","isocode","glottocode","xd_ids","soc_ids","in_dplace","EA023","EA024","EA025","EA026","EA027","in_kinbank","mMeB","mMyB","mFeB","mFyB","mF","mMeZ","mMyZ","mFeZ","mFyZ","mM"
"ENAPA_WOROMAIPU",,"enap1235","xd1339","Sc13",1,1,3,1,1,5,1,"yawóng","yawóng","yím","yím","yím","sanéʔ","sanéʔ","wañéne","wañéne","sanéʔ; -anə"
"PANARE",,"enap1235","xd1339","Sc13",1,1,3,1,1,5,1,"yawóng","yawóng","yím","yím","yím","sanéʔ","sanéʔ","wañéne","wañéne","sanéʔ; -anə"
"MAKUSHI",,"macu1259","xd1338","Sc12",1,1,3,1,1,5,1,"inton","inton","papai","papai","u-yun","mamai","mamai","waʔnɨ","waʔnɨ","u-san"
"MACUSHI",,"macu1259","xd1338","Sc12",1,1,3,1,1,5,1,"inton","inton","papai","papai","u-yun","mamai","mamai","waʔnɨ","waʔnɨ","u-san"
"WAIWAI",,"waiw1244","xd1359","Sd7",1,1,3,15,9,5,1,"o-tam-ru","o-tam-ru","yɨɨm","yɨɨm","yɨɨm","yɨ-son","yɨ-son","o-tam-ru","o-tam-ru","noro yon"
"WAIWAI_2",,"waiw1244","xd1359","Sd7",1,1,3,15,9,5,1,"o-tam-ru","o-tam-ru","yɨɨm","yɨɨm","yɨɨm","yɨ-son","yɨ-son","o-tam-ru","o-tam-ru","noro yon"
"WAIMIRI_ATROARI",,"waim1253","","",0,,,,,,1,"ya","ya","y”mk”","y”mk”","yim”","sank”","sank”","w”h”","w”h”","san”"
"KALINA",,"gali1262","","",0,,,,,,1,"katobô",,"yüman","yüman","yüman","sanon","sanon","yawôpirï","yawôpirï","sanon"
"MAQUIRITARI",,"maqu1238","xd1342","Sc16",1,1,3,1,1,5,1,"yawo","yawo","haha","haha","haha","denɨ","denɨ","waynɲeʔney","waynɲeʔney","denɨ"
"WAURA",,"waur1244","","",0,,,,,,1,"u'wa","u'wa","pa'pa; -žɨ","pa'pa; -žɨ","pa'pa; -žɨ","ma'ma; -ɨnu","ma'ma; -ɨnu","a'kɨ","a'kɨ","ma'ma; -ɨnu"
"BAURE",,"baur1253","","",0,,,,,,1,,,,,"-i'a; čač",,,,,"n-en"
"IGNACIANO",,"igna1246","","",0,,,,,,1,,,,,"tikačiča; -iya; iyare",,,,,"-'ena; meme"
"TRINITARIO",,"trin1274","","",0,,,,,,1,,,,,"tata",,,,,"-eno; meme"
"MASHCO_PIRO",,"mash1270","","",0,,,,,,1,,,,,"hi-rɨ; pa-tɨ",,,,,"nato; hin-ro"
"WAYUU",,"wayu1243","xd1331","SCCS159, Sb6",1,13,2,15,9,1,1,"ta-ľaɨľa","ta-ľaɨľa","ta-ši","ta-ši","ta-ši","ta-aʔir̃ɨ","ta-aʔir̃ɨ","te-i","te-i","te-i"
"WAPISHANA",,"wapi1253","xd1348","Sc5",1,1,3,1,1,5,1,"tʰaatʰai","tʰaatʰai","pʰaapʰai","pʰaapʰai","-ˀdarɨ","maamai","maamai","waʔanɨɨ","waʔanɨɨ","-ˀdaru"
"WAPIXANA",,"wapi1253","xd1348","Sc5",1,1,3,1,1,5,1,"tʰaatʰai","tʰaatʰai","pʰaapʰai","pʰaapʰai","-ˀdarɨ","maamai","maamai","waʔanɨɨ","waʔanɨɨ","-ˀdaru"
"YAVITERO",,"yavi1244","","",0,,,,,,1,,,,,"ihi",,,,,"iľ̥uami"
"KONIBO",,"ship1254","xd1373","Se9",1,,,,,,1,"cóca","cóca","épa","épa","pápa","huáata","huáata","náchi","náchi","títa"
"SHIPIBO",,"ship1254","xd1373","Se9",1,,,,,,1,"cóca","cóca","épa","épa","pápa","huáata","huáata","náchi","náchi","títa"
"ELAMITE",,"elam1244","","",0,,,,,,1,,,,,"atta: OE; NE; AchE ad-da; ME at-ta",,,,,"amma: OE; ME; NE; AchE am-ma"
"KAROK",,"karo1304","xd1095","B182, Nb34, WNAI37",1,7,8,15,9,4,1,"xúkam","xúkam","párah","párah","ʔáka","θúxaθ","θúxaθ","mī́θ","mī́θ","tá̄t"
"KOIARI_2",,"gras1249","xd801","Ie24",1,8,7,15,9,4,1,"vaiuki; vaiumu","vaiuki; vaiumu","mama; mamaka","mama; mamaka","mama; mamaka","nina; ninaka","nina; ninaka","yaya; yayaika","yaya; yayaika","nina; ninaka; ine; neina"
"KOIARI",,"gras1249","xd801","Ie24",1,8,7,15,9,4,1,"vaiuki; vaiumu","vaiuki; vaiumu","mama; mamaka","mama; mamaka","mama; mamaka","nina; ninaka","nina; ninaka","yaya; yayaika","yaya; yayaika","nina; ninaka; ine; neina"
"EMBERA_NORTHERN",,"nort2972","xd1320","Sa4",1,12,5,15,9,4,1,"zrõã","zrõã","zrõã","zrõã","zeze","a'pipi","a'pipi","a'pipi","a'pipi","papa"
"EMBERA_DARIEN",,"nort2972","xd1320","Sa4",1,12,5,15,9,4,1,"zrõã","zrõã","zrõã","zrõã","zeze","a'pipi","a'pipi","a'pipi","a'pipi","papa"
"NORTHERN_EMBERA",,"nort2972","xd1320","Sa4",1,12,5,15,9,4,1,"zrõã","zrõã","zrõã","zrõã","zeze","a'pipi","a'pipi","a'pipi","a'pipi","papa"
"EPENA_BASURUDO",,"epen1239","","",0,,,,,,1,,,,,"a'kʰõre",,,,,"nawe"
"EPENA_SAIJA",,"epen1239","","",0,,,,,,1,,,,,"a'kʰõre",,,,,"nawe"
"CHIPAYA_2",,"chip1262","","",0,,,,,,1,,,,,"exp",,,,,"mama; maa"
"CHIPAYA",,"chip1262","","",0,,,,,,1,,,,,"exp",,,,,"mama; maa"
"CHIPAYA_3",,"chip1262","","",0,,,,,,1,,,,,"exp",,,,,"mama; maa"
"MOSETEN",,"mose1249","","",0,,,,,,1,"kyu'ye; papa","kyu'ye; papa","ata; xein'dʸek","ata; xein'dʸek","tata; ata","c̷e'dʸe","c̷e'dʸe","yaya","yaya","nonoʔ"
"CENTRAL_AYMARA_2",,"cent2142","xd1375","SCCS172, Sf2",1,8,7,15,9,4,1,,,,,"awki; tata",,,,,"tayka; mama"
"CENTRAL_AYMARA",,"cent2142","xd1375","SCCS172, Sf2",1,8,7,15,9,4,1,,,,,"awki; tata",,,,,"tayka; mama"
"SULLKATITI_TITIRI",,"cent2142","xd1375","SCCS172, Sf2",1,8,7,15,9,4,1,,,,,"awki; tata",,,,,"tayka; mama"
"PUKI",,"cent2142","xd1375","SCCS172, Sf2",1,8,7,15,9,4,1,,,,,"awki; tata",,,,,"tayka; mama"
"CUZCO_GNL",,"cusc1236","","",1,10,1,15,9,4,1,"kaka","kaka",,"sullk'a tayta","tata.; tayta; yaya.","sullk'a mama","sullk'a mama","ipa.","ipa.","mama."
"YARURO",,"pume1238","xd1345","B38, Sc2",1,1,3,1,1,4,1,"hade-mãĩ","hade-mãĩ","a-mãĩ","a-mãĩ","amãĩ","aĩ","aĩ","hae-ieĩ","hae-ieĩ","aĩ ~ eĩ"
"MOVIMA",,"movi1243","","",0,,,,,,1,"yayaʔa","yayaʔa","yayaʔa","yayaʔa","paʔa","aiku","aiku","aiku","aiku","maʔa"
"COFAN",,"cofa1242","","",0,,,,,,1,,,,,"kic̷a; yaya",,,,,"čã; mama"
"ZUNI",,"zuni1245","xd1280","Nh4, SCCS149, WNAI160",1,8,7,15,9,1,1,"kʸakʸa","kʸakʸa","-tačču; -tačču c̷ʔana; -tačču ɬašši","-tačču; -tačču c̷ʔana; -tačču ɬašši","-tačču","-c̷itta; c̷itta c̷ʔana; -c̷itta ɬašši","-c̷itta; c̷itta c̷ʔana; -c̷itta ɬašši","kuku","kuku","-c̷itta"
"ARIKARA",,"arik1262","xd1209","Ne10",1,,,,,1,1,"ah-te-wä-seʼ-rish","ah-te-wä-seʼ-rish","ah-teʼ-ä","ah-teʼ-ä","ah-teʼ-ah","atʼ-nä","atʼ-nä","atʼ-nä","atʼ-nä","at-näʼ"
"PAWNEE",,"pawn1254","xd1240","Nf6, SCCS142",1,12,5,11,5,1,1,"te-watchʼ-e-riks; te-wäʼ-chir-iks","te-watchʼ-e-riks; te-wäʼ-chir-iks","a-teʼ-ase; ah-teʼ-is","a-teʼ-ase; ah-teʼ-is","ah-teʼ-ase; ah-teʼ-is","a-teʼ-rä; ah-teʼ-rä","a-teʼ-rä; ah-teʼ-rä","a-teʼ-rä; ah-teʼ-rä","a-teʼ-rä; ah-teʼ-rä","a-teʼ-rǎ; ah-teʼ-rä"
"PAWNEE_2",,"pawn1254","xd1240","Nf6, SCCS142",1,12,5,11,5,1,1,"te-watchʼ-e-riks; te-wäʼ-chir-iks","te-watchʼ-e-riks; te-wäʼ-chir-iks","a-teʼ-ase; ah-teʼ-is","a-teʼ-ase; ah-teʼ-is","ah-teʼ-ase; ah-teʼ-is","a-teʼ-rä; ah-teʼ-rä","a-teʼ-rä; ah-teʼ-rä","a-teʼ-rä; ah-teʼ-rä","a-teʼ-rä; ah-teʼ-rä","a-teʼ-rǎ; ah-teʼ-rä"
"CHEROKEE",,"cher1273","xd1254","Ng5",1,12,5,15,9,1,1,"e-dǔʼ-tsǐ; ah-ge-dooʼ-dzǐ","e-dǔʼ-tsǐ; ah-ge-dooʼ-dzǐ","e-dauʼ-dä; ah-ge-doʼ-dä","e-dauʼ-dä; ah-ge-doʼ-dä","e-dauʼ-ke; ah-ge-doʼ-dä","e-tsiʼ; ah-gidʼ-ze","e-tsiʼ; ah-gidʼ-ze","e-hlänʼ-gǐ; ah-ge-h'loʼ-gih","e-hlänʼ-gǐ; ah-ge-h'loʼ-gih","e-tsǐʼ; ah-gidʼ-ze"
"TUSCARORA",,"tusc1257","","",0,,,,,,1,"ahk-räʼ-do-noʼ-re-ah","ahk-räʼ-do-noʼ-re-ah","ahk-reʼ-ah","ahk-reʼ-ah","ahk-reʼ-ah","oh-näʼ","oh-näʼ","ahk-kawʼ-rack","ahk-kawʼ-rack","ohʼ-nä"
"WENDAT_HURON",,"wyan1247","xd1244","Ng1, SCCS144",1,7,8,15,9,5,1,"hä-wä-te-noʼ-rä","hä-wä-te-noʼ-rä","hi-eseʼ-tǎ","hi-eseʼ-tǎ","hi-eseʼ-tǎ","ah-nǎʼ-uh","ah-nǎʼ-uh","ah-räʼ-hoo","ah-räʼ-hoo","ah-nǎʼ-uh"
"WYANDOT",,"wyan1247","xd1244","Ng1, SCCS144",1,7,8,15,9,5,1,"hä-wä-te-noʼ-rä","hä-wä-te-noʼ-rä","hi-eseʼ-tǎ","hi-eseʼ-tǎ","hi-eseʼ-tǎ","ah-nǎʼ-uh","ah-nǎʼ-uh","ah-räʼ-hoo","ah-räʼ-hoo","ah-nǎʼ-uh"
"CAYUGA",,"cayu1261","","",0,,,,,,1,"kuh-noʼ-seh","kuh-noʼ-seh","häʼ-nih","häʼ-nih","häʼ-nih","knoʼ-hä","knoʼ-hä","knoʼ-hä","knoʼ-hä","knoʼ-hä"
"SENECA",,"sene1264","xd1245","Ng10",1,,,,,5,1,"hoc-noʼ-seh","hoc-noʼ-seh","häʼ-nih","häʼ-nih","häʼ-nih","no-yehʼ","no-yehʼ","ah-gaʼ-huo","ah-gaʼ-huo","no-yehʼ"
"ONONDAGA",,"onon1246","","",0,,,,,,1,"ge-noʼ-sä-ha","ge-noʼ-sä-ha","kuh-ne-häʼ","kuh-ne-häʼ","kuh-ne-häʼ","ah-ge-noʼ-hä","ah-ge-noʼ-hä","ah-ge-noʼ-hä","ah-ge-noʼ-hä","ah-ge-noʼ-hä"
"MOHAWK",,"moha1258","","",0,,,,,,1,"lä-ga-noleʼ-hä","lä-ga-noleʼ-hä","lä-ga-neʼ-hä","lä-ga-neʼ-hä","lä-ga-neʼ-hä","lä-ga-neʼ-hä","lä-ga-neʼ-hä","ah-ga-neseʼ-tä","ah-ga-neseʼ-tä","ah-ga-neseʼ-hä"
"ONEIDA",,"onei1249","","",0,,,,,,1,"läg-noleʼ-hä","läg-noleʼ-hä","läʼ-ga-nih","läʼ-ga-nih","läʼ-ga-nih","ahk-noleʼ-hä","ahk-noleʼ-hä","ahk-noleʼ-hä","ahk-noleʼ-hä","ahk-noleʼ-hä"
"PAEZ",,"paez1247","xd1378","Sf5",1,,,,,,1,"kahka","kahka","yũũkwe","yũũkwe","tata; ney","pee-yũkwe","pee-yũkwe","pee-c̷uhc̷","pee-c̷uhc̷","mama"
"PAEZ_2",,"paez1247","xd1378","Sf5",1,,,,,,1,"kahka","kahka","yũũkwe","yũũkwe","tata; ney","pee-yũkwe","pee-yũkwe","pee-c̷uhc̷","pee-c̷uhc̷","mama"
"CROW",,"crow1244","xd1223","B248, Ne4",1,8,7,15,9,1,1,"bä-säʼ-na","bä-säʼ-na","ah-haʼ","ah-haʼ","ah-hˑaʼ","eʼ-ke-ä","eʼ-ke-ä","eʼ-ke-ä","eʼ-ke-ä","eʼ-ke-äʼ"
"HIDATSA",,"hida1246","xd1214","Ne15, SCCS141",1,8,7,15,9,1,1,"me-äʼ-ka","me-äʼ-ka","tä-taʼ","tä-taʼ","tä-taʼ","ihʼ-kä","ihʼ-kä","kä-ruʼ-hǎ","kä-ruʼ-hǎ","ihʼ-kä"
"MANDAN",,"mand1446","xd1225","Ne6",1,6,4,15,9,1,1,"tä-wäʼ-rä-to-ra","tä-wäʼ-rä-to-ra","tä-tayʼ","tä-tayʼ","tä-tayʼ","nä-aʼ","nä-aʼ","p-toʼ-me-nick; mä-saʼ-we","p-toʼ-me-nick; mä-saʼ-we","nä-aʼ"
"LAKHOTA",,"lako1247","xd1227","B249, Ne8",1,8,7,15,9,5,1,"lakeʼ-she; lakeʼ-she; lakeʼ-she","lakeʼ-she; lakeʼ-she; lakeʼ-she","ah-taʼ; ah-taʼ; ah-taʼ","ah-taʼ; ah-taʼ; ah-taʼ","ah-taʼ; ah-taʼ; ah-taʼ","eʼ-nah; eʼ-nah; eʼ-nah","eʼ-nah; eʼ-nah; eʼ-nah","tohʼ-we; toh-weʼ; tohˑʼ-we","tohʼ-we; toh-weʼ; tohˑʼ-we","eʼ-nah; eʼ-nah; eʼ-nah"
"ASSINIBOINE",,"assi1247","xd1210","B257, Ne11",1,7,8,15,9,5,1,"me-nakeʼ-she","me-nakeʼ-she","ah-daʼ","ah-daʼ","ah-daʼ","e-nahʼ","e-nahʼ","me-tohʼ-we","me-tohʼ-we","e-nahʼ"
"DAKOTA",,"dako1258","xd1220","Ne20",1,8,7,15,9,5,1,"dakʼ-she; ah-dikʼ-she; dakeʼ-she; a-dikʼ-she","dakʼ-she; ah-dikʼ-she; dakeʼ-she; a-dikʼ-she","at-tayʼ; ah-taʼ; ah-taʼ; ah-taʼ","at-tayʼ; ah-taʼ; ah-taʼ; ah-taʼ","at-tayʼ; ah-taʼ; ah-täʼ; ah-taʼ","e-nahʼ; ken-näʼ; eʼ-nah; eʼ-nah","e-nahʼ; ken-näʼ; eʼ-nah; eʼ-nah","tun̤-winʼ; tonkʼ-wa; tohʼ-we; tonkʼ-wa","tun̤-winʼ; tonkʼ-wa; tohʼ-we; tonkʼ-wa","e-nahʼ; enʼ-nä; eʼ-nah; eʼ-nah"
"LAKOTA",,"lako1247","xd1227","B249, Ne8",1,8,7,15,9,5,1,"lakeʼ-she; lakeʼ-she; lakeʼ-she","lakeʼ-she; lakeʼ-she; lakeʼ-she","ah-taʼ; ah-taʼ; ah-taʼ","ah-taʼ; ah-taʼ; ah-taʼ","ah-taʼ; ah-taʼ; ah-taʼ","eʼ-nah; eʼ-nah; eʼ-nah","eʼ-nah; eʼ-nah; eʼ-nah","tohʼ-we; toh-weʼ; tohˑʼ-we","tohʼ-we; toh-weʼ; tohˑʼ-we","eʼ-nah; eʼ-nah; eʼ-nah"
"IOWA_OTO",,"iowa1245","","",0,,,,,,1,"heen-jaʼ-kä","heen-jaʼ-kä","heenʼ-kä","heenʼ-kä","heenʼ-kä","heenʼ-nä","heenʼ-nä","heen-tooʼ-me","heen-tooʼ-me","heenʼ-nä"
"KANSA",,"kans1243","","",0,,,,,,1,"be-jaʼ-ga","be-jaʼ-ga","e-däʼ-je","e-däʼ-je","e-däʼ-je","eʼ-naw","eʼ-naw","be-jeʼ-me","be-jeʼ-me","eʼ-naw"
"OSAGE",,"osag1243","","",0,,,,,,1,"we-jaʼ-ga","we-jaʼ-ga","in-täʼ-che","in-täʼ-che","in-täʼ-che","inʼ-uaw","inʼ-uaw","we-jeʼ-me","we-jeʼ-me","in-nahʼ"
"OMAHA_PONCA",,"omah1247","","",0,,,,,,1,"wee-näʼ-gee","wee-näʼ-gee","in-däʼ-de","in-däʼ-de","in-däʼ-de","e-näʼ-hä","e-näʼ-hä","wee-teeʼ-me","wee-teeʼ-me","eʼ-näʼ-ha"
"TLINGIT",,"tlin1245","xd1082, xd1431","B292, Nb22, WNAI1, WNAI2",1,9,4,6,3,1,1,"-káak","-káak","-sáni","-sáni","-éeš","-tláakˀʷ","-tláakˀʷ","-aat","-aat","-tláa"
"EYAK",,"eyak1241","xd1102","B295, Nb5, SCCS130",1,1,3,15,9,5,1,"gaag","gaag","tinh","tinh","taa’","yaaq’e’","yaaq’e’","’ahd","’ahd","aan"
"CHIRICAHUA",,"mesc1238","xd1259, xd1265","B242, Nh1, Nh15, SCCS148, WNAI152, WNAI153, WNAI154",1,7,8,15,9,4,1,"cìɣóyé; cìdài'","cìɣóyé; cìdài'","cìbéˑjè'; cìdèˑdéˑ'","cìbéˑjè'; cìdèˑdéˑ'","cìtàˑ","cíkà'; cìɣóyé; cìdài'","cíkà'; cìɣóyé; cìdài'","cìdèˑdéˑ'","cìdèˑdéˑ'","cìmáˑ'"
"SAN_CARLOS",,"west2615","xd1267","Nh17, WNAI147, WNAI148, WNAI149, WNAI150, WNAI151",1,7,8,15,9,5,1,"cìdà'á","cìdà'á","cìdéjé","cìdéjé","cìtàˑ","cíkàˑ'á","cíkàˑ'á","cìdéjé","cìdéjé","cìmáˑ"
"NAVAHO",,"nava1243","xd1279","Nh3, WNAI157, WNAI158",1,7,8,15,9,5,1,"adá'i","adá'i","abízhí; shizhé'é","abízhí; shizhé'é","shizhb'k","amá yázhi; amá","amá yázhi; amá","abízhí","abízhí","shimá"
"NAVAJO",,"nava1243","xd1279","Nh3, WNAI157, WNAI158",1,7,8,15,9,5,1,"adá'i","adá'i","abízhí; shizhé'é","abízhí; shizhé'é","shizhb'k","amá yázhi; amá","amá yázhi; amá","abízhí","abízhí","shimá"
"JICARILLA_APACHE",,"jica1244","xd1266","Nh16, WNAI156",1,8,7,15,9,5,1,"сìdà'áˑ'","сìdà'áˑ'","cìdédjé; cìkà'éˑ'","cìdédjé; cìkà'éˑ'","cìkà'éˑ'","cì'níˑ'; cíkáˑ'","cì'níˑ'; cíkáˑ'","cìdédjé","cìdédjé","cì'níˑ'"
"JICARILLA",,"jica1244","xd1266","Nh16, WNAI156",1,8,7,15,9,5,1,"сìdà'áˑ'","сìdà'áˑ'","cìdédjé; cìkà'éˑ'","cìdédjé; cìkà'éˑ'","cìkà'éˑ'","cì'níˑ'; cíkáˑ'","cì'níˑ'; cíkáˑ'","cìdédjé","cìdédjé","cì'níˑ'"
"LIPAN",,"lipa1241","xd1275","B240, Nh24, WNAI155",1,8,7,15,9,4,1,"сìdà'á","сìdà'á","cì'àˑcí; cìbídjí","cì'àˑcí; cìbídjí","cì'àˑcí","cì'nándí","cì'nándí","cìbídjí","cìbídjí","cì'nándí"
"MATTOLE",,"matt1238","xd1099","B169, Nb38, WNAI41",1,7,8,15,9,,1,,,,,"bût xa",,,,,"mun tcwin"
"HUPA",,"hupa1239","xd1096","B180, Nb35, WNAI38",1,7,8,15,9,4,1,"is","is","tai","tai","ta","unkai","unkai","aditcwu","aditcwu","antcuiñ"
"HUPA_2",,"hupa1239","xd1096","B180, Nb35, WNAI38",1,7,8,15,9,4,1,"is","is","tai","tai","ta","unkai","unkai","aditcwu","aditcwu","antcuiñ"
"CHIPEWYAN",,"chip1261","xd1046","B355, Na30",1,8,7,15,9,4,1,"seʔe","seʔe","seʔe","seʔe","setá; abá","sâk’íe; sâk’íe nî","sâk’íe; sâk’íe nî","sâk’íe; sâk’íe nî","sâk’íe; sâk’íe nî","ʔamá"
"KUTCHIN",,"gwic1235","xd1037","B356, Na20",1,8,7,15,9,4,1,"soo-eʼ; so-heʼ","soo-eʼ; so-heʼ","te-anghʼ; seet-ye","te-anghʼ; seet-ye","te-͡anghʼ; teh-yǎn","na-ainghʼ; sa-ku-i","na-ainghʼ; sa-ku-i","säʼ-kiʼ","säʼ-kiʼ","en-naʼ; na-aingh; nu-han"
"DOGRIB",,"dogr1252","xd1032","B361, Na15",1,,,,,4,1,"serʼ-a","serʼ-a","see-theʼ-ne","see-theʼ-ne","gotà; set-häʼ","gomǫ̀ǫ; sä-kreʼ-a","gomǫ̀ǫ; sä-kreʼ-a","gomǫ̀ǫ; setʼ-so","gomǫ̀ǫ; setʼ-so","a-naʼ"
"HARE",,"nort2942","xd1007, xd1009, xd1033","B350, B352, B358, Na16",1,,,,,,1,"seʔe","seʔe","setąa","setąa","abá; įt'á","sebée","sebée","senǫǫ","senǫǫ","amá; énę"
"SLAVEY",,"sout2959","xd1034","B345, Na17, SCCS128",1,8,7,15,9,4,1,"seʔeh","seʔeh","seʔeh","seʔeh","setá","sǫ; sǫ héʔi","sǫ; sǫ héʔi","ehmbée; ehmbée héʔi","ehmbée; ehmbée héʔi","semǫ; amá"
"EIGHTEENTH_CENTURY_KET",,"kett1243","xd636","B24, Ec8",1,,,,,,1,"beˀp","qōj; qoja","beˀp","qōj; qoja","ōˑp","beˀp","qōj; qoja","beˀp","qōj; qoja","āˑm"
"KET",,"kett1243","xd636","B24, Ec8",1,,,,,,1,"beˀp","qōj; qoja","beˀp","qōj; qoja","ōˑp","beˀp","qōj; qoja","beˀp","qōj; qoja","āˑm"
"CRUZENYO",,"cruz1243","xd1127","B161, Nc28",1,,,,,,1,,,,,"u-kâ'-kâ",,,,,"kâ'-ni"
"GUNUNA_KUNE",,"puel1244","","",0,,,,,,1,"apgɨṣɨ","apgɨṣɨ","anamɨn","anamɨn","yawʔge-xna","apɨṣɨ-c̷ɨm","apɨṣɨ-c̷ɨm","anamɨn-c̷ɨm","anamɨn-c̷ɨm","mama"
"GUNUNA_KUNE_2",,"puel1244","","",0,,,,,,1,"apgɨṣɨ","apgɨṣɨ","anamɨn","anamɨn","yawʔge-xna","apɨṣɨ-c̷ɨm","apɨṣɨ-c̷ɨm","anamɨn-c̷ɨm","anamɨn-c̷ɨm","mama"
"CAYAPA",,"chac1249","xd1376","SCCS168, Sf3",1,8,7,15,9,4,1,"ah'čiyu; uh'puyu","ah'čiyu; uh'puyu","a'piku","a'piku","apa; yaʔ 'pa","man'guku","man'guku","u'ɲuku","u'ɲuku","ama; mama"
"YAMANA",,"yama1264","xd1383","B55, SCCS186, Sg1",1,7,8,15,9,3,1,"tanowa","tanowa","tanowa","tanowa","imu; tapwin","tanowa-kipa","tanowa-kipa","tanowa-kipa","tanowa-kipa","tapi"
"AGUARUNA",,"agua1253","","",0,,,,,,1,"yac̷u-t","yac̷u-t","apa-'hu yači","apa-'hu yači","apa-g; apag","u'ma; uma-yui","u'ma; uma-yui","apa-'hu uma-yi","apa-'hu uma-yi","duku; dukug"
"AGUARUNA_2",,"agua1253","","",0,,,,,,1,"yac̷u-t","yac̷u-t","apa-'hu yači","apa-'hu yači","apa-g; apag","u'ma; uma-yui","u'ma; uma-yui","apa-'hu uma-yi","apa-'hu uma-yi","duku; dukug"
"QAWASQAR",,"qawa1238","","",1,10,1,15,9,,1,,,"yerwotaḳ","yerwotaḳ","c̷ewal",,,"yerwotaḳ","yerwotaḳ","c̷ap"
"EAST_GREENLANDIC",,"kala1399","xd1041","B385, Na25",1,,,,,3,1,"ang-a-ga","ang-a-ga","aʼ-ka-ga","aʼ-ka-ga","a-tâ-ta-ga; aug-u-ti-ga","a-jaʼ-ga","a-jaʼ-ga","at-sa-ga","at-sa-ga","an-â-na-ga; ar-na-ra"
"WEST_GREENLANDIC",,"kala1399","xd1041","B385, Na25",1,,,,,3,1,"ang-a-ga","ang-a-ga","aʼ-ka-ga","aʼ-ka-ga","a-tâ-ta-ga; aug-u-ti-ga","a-jaʼ-ga","a-jaʼ-ga","at-sa-ga","at-sa-ga","an-â-na-ga; ar-na-ra"
"KANGIRYUARMIUTUN",,"west2618","xd1025","B384, Na22",1,7,8,15,9,4,1,,,,,"ahˑ-tä-tǎ-kǎ",,,,,"a-näʼ-nǎ-kwǎ"
"KUTENAI",,"kute1249","xd1205","B250, Nd7, SCCS139, WNAI106",1,7,8,15,9,4,1,,,"kachʼ-ha","kachʼ-ha","kä-taʼ-to","ka-ko-o'kt","ka-ko-o'kt","nu-pweʼ-ä-tsiu","nu-pweʼ-ä-tsiu","kam-ä"
"NOOTKA",,"nuuc1236","xd1070","B273, Nb11, WNAI12",1,7,8,15,9,4,1,,,,,"nˀowˀi-; nˀowˀiˑqso; taˑta",,,,,"ʔomʔa-; ʔomʔiˑqso"
"OKANAGAN_COLVILLE",,"okan1243","","",0,,,,,,1,"e-se-seeʼ","e-se-seeʼ",,,"in-messʼ-tum",,,"ese-wǎʼ-wä-sǎ","ese-wǎʼ-wä-sǎ","in-toomʼ"
"SPOKANE",,"spok1245","","",0,,,,,,1,"is-sǎʼ","is-sǎʼ","is-se-mǎlt","is-se-mǎlt","en-le-ǎʼ-u","in-kachʼ-ha","in-kachʼ-ha","in-kachʼ-ha","in-kachʼ-ha","e-skoʼ-i"
"PUINABE",,"puin1248","","",0,,,,,,1,"-wota","-wota","-i-bəi","-i-bəi","-i","-inha","-inha","-iha","-iha","-in"
"PUINAVE",,"puin1248","","",0,,,,,,1,"-wota","-wota","-i-bəi","-i-bəi","-i","-inha","-inha","-iha","-iha","-in"
"MAIDU_KONKAU",,"nort2951","xd1433","WNAI55",0,,,,,,1,"toiti","toiti","kumi","kumi","kuli","de","de","kati","kati","konti"
"MAIDU_NORTHWEST_NAKUM",,"nort2951","xd1433","WNAI55",0,,,,,,1,"toiti","toiti","kumi","kumi","kuli","de","de","kati","kati","konti"
"NE_MAIDU",,"nort2952","xd1110","B185, Nc12, WNAI56",1,7,8,15,9,5,1,"bononum","bononum","kusem","kusem","bekûm","bebem","bebem","katim","katim","nen"
"WAPPO",,"wapp1239","xd1119","B172, Nc20, WNAI66",1,7,8,15,9,1,1,,,,,"aiya; olo",,,,,"na'a; hama"
"YUKI",,"yuki1243","xd1113, xd1114, xd1138","B171, B177, Nc15, Nc16, Nc7, WNAI60, WNAI61",1,8,7,15,9,4,1,"kaha'; ai^nt","kaha'; kikan","natcin; lastcin; kai^nt","natcin; lastcin; kai^nt",,"betcek; neet; inet; nete; ka^nc","betcek; neet; inet; nete; nai^nt","betcek; neet; inet; nete; p'oyam","betcek; neet; inet; nete; pa^ntcet",
"MAI_BRAT",,"maib1239","","",0,,,,,,1,"t-amu","t-amu","t-atia","t-atia","t-atia","t-me","t-me","t-ati","t-ati","t-me"
"ATSUGEWI",,"atsu1245","xd1135","B183, Nc4, WNAI53",1,7,8,15,9,3,1,"tsimi","tsimi","nipstir","nipstir","tata","midi","midi","petcir","petcir","tcitci"
"SHASTA",,"shas1239","xd1093","B179, Nb32, WNAI44, WNAI45",1,7,8,15,9,5,1,"apaki","apaki","arodsa","arodsa","ata","anidi","anidi","ambaki","ambaki","ani"
"CHIMARIKO",,"chim1301","xd1094","B162, Nb33, WNAI46",1,7,8,15,9,3,1,"magola","magola","magola","magola","itcila","malai; mutala","malai; mutala","uluida","uluida","cido"
"SERI",,"seri1257","xd1289","B143, Ni4",1,8,7,15,9,4,1,"-šmī; -χāk","-šmī; -χāk","-maʔax; -aitš","-maʔax; -aitš","-ai; -am","-tmaʔax; -ntāk","-tmaʔax; -ntāk","-yāk","-yāk","-ata"
