"","ID","Glottocode","Parameter_ID","Form","speaker","mf","consonant","vowel","reduplication"
"262","v_makondemako1251-mF-2","mako1251","mF","baba","m","F",NA,NA,NA
"263","v_makondemako1251-mF-3","mako1251","mF","atata","m","F",NA,NA,NA
"264","v_makondemako1251-mF-4","mako1251","mF","tatamunu","m","F",NA,NA,NA
"265","v_makondemako1251-mM-1","mako1251","mM","mama","m","M",NA,NA,NA
"266","v_makondemako1251-mM-2","mako1251","mM","jujumunu","m","M",NA,NA,NA
"267","v_makondemako1251-mM-3","mako1251","mM","ajala","m","M",NA,NA,NA
"268","v_masaabamasa1299-mF-1","masa1299","mF","baba","m","F",NA,NA,NA
"269","v_masaabamasa1299-mM-1","masa1299","mM","mai","m","M",NA,NA,NA
"270","v_mbalambal1257-mF-1","mbal1257","mF","dâda","m","F",NA,NA,NA
"271","v_mbalambal1257-mF-2","mbal1257","mF","dâawa","m","F",NA,NA,NA
"272","v_mbalambal1257-mM-1","mbal1257","mM","maawa","m","M",NA,NA,NA
"273","v_mbalambal1257-mF-3","mbal1257","mF","tata","m","F",NA,NA,NA
"274","v_mberember1257-mF-1","mber1257","mF","tara","m","F",NA,NA,NA
"275","v_mberember1257-mM-1","mber1257","mM","ngughu","m","M",NA,NA,NA
"276","v_mbuunmpuo1241-mF-1","mpuo1241","mF","taar","m","F",NA,NA,NA
"277","v_mbuunmpuo1241-mM-1","mpuo1241","mM","maam","m","M",NA,NA,NA
"278","v_mbuunmpuo1241-mF-2","mpuo1241","mF","ta'","m","F",NA,NA,NA
"279","v_mbuunmpuo1241-mM-2","mpuo1241","mM","m'ma'","m","M",NA,NA,NA
"280","v_merumeru1245-mF-1","meru1245","mF","baaba","m","F",NA,NA,NA
"281","v_merumeru1245-mM-1","meru1245","mM","icia","m","M",NA,NA,NA
"282","v_metameta1238-mF-1","meta1238","mF","tà","m","F",NA,NA,NA
"283","v_metameta1238-mF-2","meta1238","mF","tatá","m","F",NA,NA,NA
"284","v_metameta1238-mF-3","meta1238","mF","mɔtà","m","F",NA,NA,NA
"285","v_metameta1238-mM-1","meta1238","mM","ŋgɔ́p","m","M",NA,NA,NA
"286","v_metameta1238-mM-2","meta1238","mM","ibəŋgɔ́p'","m","M",NA,NA,NA
"287","v_metameta1238-mM-3","meta1238","mM","bəŋgɔ́bə́","m","M",NA,NA,NA
"288","v_mokpwemokp1239-mF-1","mokp1239","mF","sango","m","F",NA,NA,NA
"289","v_mokpwemokp1239-mF-2","mokp1239","mF","tatè","m","F",NA,NA,NA
